CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES
CENTRO DE INVESTIGACIÓN E INNOVACIÓN EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN (INFOTEC); Aguascalientes
CENTRO DE INVESTIGACIÓN EN GEOGRAFÍA Y GEOMÁTICA Subsede Aguascalientes
CENTRO REGIONAL DE EDUCACIÓN NORMAL DE AGUASCALIENTES (CRENA)
COLEGIO LATINOAMERICANO DE EDUCACIÓN AVANZADA
ESCUELA NORMAL DE AGUASCALIENTES
ESCUELA NORMAL DE RINCÓN DE ROMOS
ESCUELA NORMAL GUADALUPE VICTORIA
ESCUELA NORMAL RURAL JUSTO SIERRA MÉNDEZ
ESCUELA NORMAL SUPERIOR FEDERAL DE AGUASCALIENTES PROF.JOSÉ SANTOS VALDÉS
ESCUELA SUPERIOR DE PRÓTESIS DENTAL
INSTITUTO CULTURAL DE AGUASCALIENTES
INSTITUTO DE EDUCACIÓN DE EXCELENCIA (INEDUX)
INSTITUTO DE ESTUDIOS SUPERIORES ISIMA Plantel Aguascalientes
INSTITUTO DE PSICOTERAPIAS HUMANISTAS
INSTITUTO ESCADIA
INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES
Instituto Tecnológico de Aguascalientes (ITA)
INSTITUTO TECNOLÓGICO DE LA CONSTRUCCIÓN Campus Aguascalientes
INSTITUTO TECNOLÓGICO DE PABELLON DE ARTEAGA
INSTITUTO TECNOLÓGICO EL LLANO AGUASCALIENTES
Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM) Campus Aguascalientes
ISSADE INSTITUTO SUPERIOR DE SISTEMA ABIERTO DE ENSEÑANZA
UNIDAD UPN Nº 11 AGUASCALIENTES
Universidad Autónoma de Aguascalientes (UAA)
UNIVERSIDAD AUTÓNOMA DE DURANGO Campus Aguascalientes
UNIVERSIDAD CUAUHTÉMOC Aguascalientes
UNIVERSIDAD DE DURANGO Campus Aguascalientes
UNIVERSIDAD DE ESTUDIOS AVANZADOS
UNIVERSIDAD DEL DESARROLLO PROFESIONAL Aguascalientes
Universidad del Valle de Atemajac (UNIVA) Plantel Aguascalientes
Universidad del Valle de México (UVM) Campus Aguascalientes
UNIVERSIDAD GALILEA
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO Campus Aguascalientes
UNIVERSIDAD LA CONCORDIA Campus Paraíso
UNIVERSIDAD LATINOAMERICANA (ULA) Campus Aguascalientes
Universidad Panamericana (UP) Campus Aguascalientes
Universidad Politécnica de Aguascalientes (UPA)
UNIVERSIDAD PONTIFICIA DE MÉXICO; Campus Aguascalientes
Universidad Tecnológica de Aguascalientes (UTAgs)
Universidad Tecnológica del Norte de Aguascalientes (UTNA)
UNIVERSIDAD VILLASUNCIÓN Aguascalientes
UNIVERSIDAD VILLASUNCIÓN Encarnación de Díaz
#61692; Centro de Enseñanza Técnica y Superior (CETYS) Campus Ensenada
#61692; Centro de Enseñanza Técnica y Superior (CETYS) Campus Mexicali
#61692; Centro de Enseñanza Técnica y Superior (CETYS) Campus Tijuana
ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO
BENÉMERITA ESCUELA NORMAL ESTATAL PROFESOR JESÚS PRADO LUNA
BENEMERITA ESCUELA NORMAL URBANA FEDERAL FRONTERIZA
BENEMÉRITA ESCUELA NORMAL URBANA NOCTURNA DEL ESTADO
CENTRO DE CAPACITACIÓN DE ESTUDIOS FISCALES Y FINANZAS PÚBLICAS
Centro de Enseñanza Técnica y Superior (CETYS)
CENTRO DE ESTUDIOS DE POSGRADO (CEP) Campus Mexicali
